n_row,new_switch,cur_switch,current_model_id,new_model_id,weights,ts,ts_mult,ret_ts,ts_n1_pre,ts_n2_pre,ts_n1_post,ts_n2_post
15,NONE,NONE,1,-1,"(1, 0)",227.9055071008841,229.45407856660856,7.661093705303894e-05,227.90344227723074,1079.3842382813784,228.81964829974336,227.98134623682864
16,NONE,NONE,1,-1,"(1, 0)",227.92425762391719,229.54848374444444,8.226984938098451e-05,227.92218323463214,1069.2942729028491,251.61429408080886,229.88947272971402
17,NONE,NONE,1,-1,"(1, 0)",227.94066097430996,229.63109685162192,7.196583782023416e-05,227.93784816773555,456.6299888083462,254.73709961727636,230.16340877204988
18,NONE,NONE,1,-1,"(1, 0)",227.95484014712102,229.70252737428976,6.220360929511352e-05,227.9517342633691,309.00754562319116,244.07981072362676,229.29231315607728
19,NONE,NONE,1,-1,"(1, 0)",227.97047352929087,229.78130438073856,6.857869790088603e-05,227.96632498423585,87.59164557339457,236.80880129883042,228.70351140599843
20,NONE,NONE,1,-1,"(1, 0)",227.98892844279771,229.87432696971942,8.094981016767406e-05,227.98340872661828,21.506119403744435,220.9666499421392,227.40655816010153
21,NONE,NONE,1,-1,"(1, 0)",228.00705768994086,229.96573735841415,7.951494181553638e-05,228.0013033892585,16.84785345701018,226.85953842201192,227.91189940418238
22,NONE,NONE,1,-1,"(1, 0)",228.0222306147279,230.04226387679105,6.654364174311141e-05,228.01663854872078,20.633827154089044,241.37671885208124,229.12958077708888
23,NONE,NONE,1,-1,"(1, 0)",228.03654275339497,230.11446758475532,6.276444838914587e-05,228.03017647766913,7.423625970629918,219.53889294630193,227.33196440195783
24,NONE,NONE,1,-1,"(1, 0)",228.05347625782613,230.19991930809192,7.425509760406799e-05,228.04651796373213,3.835277475068795,226.47330476929795,227.92246686364527
25,NONE,NONE,1,-1,"(1, 0)",228.07232770297094,230.29507941539012,8.265897255475391e-05,228.0664186347745,10.992742223010678,222.80154378217014,227.6353718802405
26,NONE,NONE,1,-1,"(1, 0)",228.0893234666089,230.38089921128255,7.451640707731815e-05,228.08255126438178,4.210514759229178,225.4409633832435,227.8697868382614
27,NONE,NONE,1,-1,"(1, 0)",228.10365193793686,230.453270438928,6.28175886309308e-05,228.097695702012,12.365823356915593,226.10024155307119,227.93758904635166
28,NONE,NONE,1,-1,"(1, 0)",228.11877148589357,230.52965701113183,6.628147669199507e-05,228.11298207498368,15.242926773792714,226.52020500754404,227.9862749294601
29,NONE,NONE,1,-1,"(1, 0)",228.1368854157714,230.62119838739858,7.940254378581776e-05,228.13164478505533,27.044650240555338,223.32067574551508,227.73772745907468
30,NONE,NONE,1,-1,"(1, 0)",228.15541135015474,230.71485196587642,8.120204756828255e-05,228.14927112401557,10.803753937714333,242.63801064793608,229.3556031486319
31,NONE,NONE,1,-1,"(1, 0)",228.17110198066024,230.79419611604501,6.87693134339137e-05,228.16434858741871,5.16340752377491,225.39132581426313,227.94075416372596
32,NONE,NONE,1,-1,"(1, 0)",228.1852420707964,230.86571821534133,6.196951275019529e-05,228.17788855415137,2.3158077797805943,229.75602082330565,228.31539752699763
33,NONE,NONE,1,-1,"(1, 0)",228.20160414624584,230.94850148452713,7.170266010976875e-05,228.19396267097696,1.6614388822743877,241.61576761160242,229.313028259611
34,NONE,NONE,1,-1,"(1, 0)",228.22041588789645,231.04370808709535,8.243135009071447e-05,228.21270349015504,1.5482364298978533,227.7674052991049,228.18288500556457
35,NONE,NONE,1,-1,"(1, 0)",228.237985768102,231.13265795919293,7.698348918770516e-05,228.22995588009107,1.1009483160536324,243.405863304559,229.49451269903926
36,NONE,NONE,1,-1,"(1, 0)",228.25260203077718,231.2066756199054,6.403752046950067e-05,228.24435816739097,0.8353558499938843,236.2186154080724,228.91247480157327
37,NONE,NONE,1,-1,"(1, 0)",228.2672786489693,231.28101800376422,6.429782718467224e-05,228.258627974281,0.4949799252784313,229.0925586117435,228.33563715350053
38,NONE,NONE,1,-1,"(1, 0)",228.28494322557864,231.37052083675738,7.738250203079305e-05,228.27595506230034,0.3451832231528918,220.157053132128,227.61175661741893
39,NONE,NONE,1,-1,"(1, 0)",228.30374991560822,231.46584097941212,8.237913169001046e-05,228.29557313896527,0.7810480584433899,241.82107887540758,229.42322066828226
40,NONE,NONE,1,-1,"(1, 0)",228.32002118219327,231.5483358855554,7.126771588264478e-05,228.31101357569662,0.2976571748381347,256.81874728275733,230.68004488547487
41,NONE,NONE,1,-1,"(1, 0)",228.33413023848698,231.61988747954277,6.179318091964788e-05,228.3260590322534,1.0448488781396832,204.8880067002178,226.39264036334197
42,NONE,NONE,1,-1,"(1, 0)",228.34991480364081,231.6999570843721,6.912685184190046e-05,228.3417993211356,0.9916087795488077,229.32476334142078,228.43063295450293
43,NONE,NONE,1,-1,"(1, 0)",228.36854278022636,231.79447881040613,8.157312798105326e-05,228.361362374096,2.563643464204759,253.68708456967025,230.4647650087621
44,NONE,NONE,1,-1,"(1, 0)",228.38663513772042,231.88631223600254,7.922124752237611e-05,228.37984713262065,3.8658466499753215,229.69408379395634,228.4948754086395
45,NONE,NONE,1,-1,"(1, 0)",228.40166282454828,231.96261209242383,6.579716205652897e-05,228.39566068625624,10.397501401149688,236.1102372624947,229.03979364802134
46,NONE,NONE,1,-1,"(1, 0)",228.41599804379655,232.0354148096103,6.276123049053983e-05,228.41068603690658,25.851603918308896,220.15779226513297,227.73241057031083
47,NONE,NONE,1,-1,"(1, 0)",228.43313006731063,232.12244532795194,7.50007933385097e-05,228.42809512413956,35.11613042677423,246.60555763991005,229.9372718295978
48,NONE,NONE,1,-1,"(1, 0)",228.45208229877755,232.2187529070683,8.296277036232505e-05,228.446374083004,17.948159510611333,239.76487849368257,229.38837094249348
49,NONE,NONE,1,-1,"(1, 0)",228.4689632953302,232.30456222217143,7.389021242584159e-05,228.4622902465602,6.094488121561881,243.5132028567757,229.7139879250862
50,NONE,NONE,1,-1,"(1, 0)",228.4831886192607,232.37689194127879,6.226176581263052e-05,228.4772307929388,15.778230171788424,237.22194931827653,229.20634214750544
51,NONE,NONE,1,-1,"(1, 0)",228.49842569580125,232.45438597468385,6.66857311929982e-05,228.49251235739462,16.683080453221496,227.29805320072154,228.39909860011096
52,NONE,NONE,1,-1,"(1, 0)",228.51673427804857,232.54752868017772,8.012242857860975e-05,228.51115872974103,23.660333437216796,249.33187396977686,230.23898444069812
53,NONE,NONE,1,-1,"(1, 0)",228.53526451088314,232.64182940555435,8.108588472991396e-05,228.529094036094,12.90108378859037,228.90054787426297,228.56548570235682
54,NONE,NONE,1,-1,"(1, 0)",228.55080564832838,232.72094215039533,6.800092352775801e-05,228.54383362403206,4.8681800304972125,232.53372423394978,228.88030425782597
55,NONE,NONE,1,-1,"(1, 0)",228.56492531035008,232.7928374795154,6.177718713197589e-05,228.5583941556141,8.790952674765636,218.23502155491286,227.71040654812518
56,NONE,NONE,1,-1,"(1, 0)",228.58147305513293,232.87711887752724,7.239582264776928e-05,228.5755895584846,18.436758158973948,234.97217074601218,229.1100913145728
57,NONE,NONE,1,-1,"(1, 0)",228.60042385917671,232.97366958244336,8.29026878909306e-05,228.59456268320412,18.862679090261096,227.26954067527092,228.49034654615377
58,NONE,NONE,1,-1,"(1, 0)",228.61790740880866,233.0627733062773,7.647790320205286e-05,228.6112456319131,7.940278663451589,230.3090325316284,228.75776962631534
59,NONE,NONE,1,-1,"(1, 0)",228.63239350556492,233.13662136576676,6.336178120441395e-05,228.62656250388824,23.497685313656046,220.4411418224088,227.95499002950496
60,NONE,NONE,1,-1,"(1, 0)",228.64714836784785,233.2118587961923,6.453322721428471e-05,228.6417474560529,40.795862610751776,239.97666708435162,229.5840210709695
61,NONE,NONE,1,-1,"(1, 0)",228.66501889388917,233.30300950896222,7.815460567075193e-05,228.65793614408162,6.887395380084147,218.82091328930852,227.85104318211648
62,NONE,NONE,1,-1,"(1, 0)",228.68387386961774,233.3992124197654,8.245335689056135e-05,228.67709964180636,9.390886688728212,196.80946636594058,226.0485045010235
63,NONE,NONE,1,-1,"(1, 0)",228.70000200305861,233.48152746404364,7.052340188774753e-05,228.69205525290604,2.376879539733167,236.71583928996142,229.3627030215634
64,NONE,NONE,1,-1,"(1, 0)",228.71404911629443,233.5532402831191,6.141968400762772e-05,228.7058883036863,1.7831397596448797,228.90291673094092,228.72966259108043
65,NONE,NONE,1,-1,"(1, 0)",228.72999631310836,233.63467469713422,6.972304910185986e-05,228.7207845101686,0.5132596514339638,238.21054891747298,229.51368836625358
66,NONE,NONE,1,-1,"(1, 0)",228.7487957568431,233.73070329081594,8.218717051440582e-05,228.73974574346767,0.6044658278277442,235.3826797879723,229.29712823770953
67,NONE,NONE,1,-1,"(1, 0)",228.76683793421034,233.82289341716753,7.887021141143826e-05,228.75778165492153,0.6010064120240707,223.50982789902235,228.33234706889786
68,NONE,NONE,1,-1,"(1, 0)",228.78171751625035,233.89894551407068,6.50404503216428e-05,228.7738554756674,2.7433883426823726,243.50247654130712,229.99830627993052
69,NONE,NONE,1,-1,"(1, 0)",228.796087548763,233.9724119988055,6.280913260357242e-05,228.788071895303,2.2429405999705883,241.27247940087497,229.82712710219633
70,NONE,NONE,1,-1,"(1, 0)",228.81342608637794,234.0610794757917,7.577874631799494e-05,228.8042195502311,0.6125518730065204,253.5383741225647,230.85652219743054
71,NONE,NONE,1,-1,"(1, 0)",228.83247041069922,234.15850114494273,8.322733571098682e-05,228.82244603817836,0.2721940339409116,230.05794614494775,228.93372669363148
72,NONE,NONE,1,-1,"(1, 0)",228.84922534044023,234.2442381863922,7.32165166492096e-05,228.83856090413903,0.13230553242651402,231.68677891475974,229.08366416588476
73,NONE,NONE,1,-1,"(1, 0)",228.86335167838845,234.31654391097888,6.172580200753065e-05,228.85297614910507,0.1949519240035341,217.17149335711406,227.89742935356225
74,NONE,NONE,1,-1,"(1, 0)",228.87871941700604,234.39522402721173,6.714584301393215e-05,228.86879794358606,0.3411513327336736,226.4365277563693,228.67697141492144
75,NONE,NONE,1,-1,"(1, 0)",228.8972237928167,234.48999121900363,8.084468437123241e-05,228.88882216152416,1.6135327287912997,234.32696767822497,229.3457354479203
76,NONE,NONE,1,-1,"(1, 0)",228.9157457094131,234.5848789361227,8.091477454926468e-05,228.90818006578706,3.7908441999890594,214.30910999382934,227.70929538185356
77,NONE,NONE,1,-1,"(1, 0)",228.9311311982357,234.6637220975063,6.72080103824392e-05,228.9246315370702,14.059301888917473,251.6392480759811,230.80660576990286
78,NONE,NONE,1,-1,"(1, 0)",228.9452406914026,234.73604503403655,6.163014314603286e-05,228.93933631508284,31.236764308521742,221.19564816719455,228.30523746774523
79,NONE,NONE,1,-1,"(1, 0)",228.96198446745,234.8218940057986,7.313173994597107e-05,228.95425857079175,3.99586199918445,241.00346865518642,229.95636257159754
80,NONE,NONE,1,-1,"(1, 0)",228.98106828759256,234.91977151785875,8.334582231918381e-05,228.97202683346248,1.086087875432762,232.10756834811167,229.23923115600368
81,NONE,NONE,1,-1,"(1, 0)",228.99845275641985,235.00896176485944,7.591810566558247e-05,228.99083022152863,5.086723986723294,232.44258292635553,229.28282154160604
82,NONE,NONE,1,-1,"(1, 0)",229.01280970203564,235.08263986034672,6.269254403679031e-05,229.00547923916398,7.478064287433206,231.3806359079071,229.20829988871847
83,NONE,NONE,1,-1,"(1, 0)",229.02765607361766,235.1588490639084,6.482558942493963e-05,229.01914533280603,1.6644631919250519,224.83210199030069,228.6812892324206
84,NONE,NONE,1,-1,"(1, 0)",229.0457369362042,235.2516882061445,7.89430814881342e-05,229.03696777366446,1.2713097886746905,223.0610301941329,228.55170437373147
85,NONE,NONE,1,-1,"(1, 0)",229.06462873114825,235.34872253461245,8.247704645248558e-05,229.05599958107618,1.4637223202695127,225.50092986029028,228.77047261637085
86,NONE,NONE,1,-1,"(1, 0)",229.08060479784834,235.43080573139176,6.974236786671209e-05,229.0723426016037,2.2615541386730804,235.08098994357928,229.57585620688187
87,NONE,NONE,1,-1,"(1, 0)",229.09459794969885,235.50271975298102,6.108210034465127e-05,229.0875896764443,12.31846901586819,242.9666155572957,230.2394772315981
88,NONE,NONE,1,-1,"(1, 0)",229.11072001701805,235.58559654615254,7.037049415923113e-05,229.10405493210206,18.434585149519474,231.36561385500346,229.29680683223538
89,NONE,NONE,1,-1,"(1, 0)",229.12968791570512,235.6831324381044,8.278579701622331e-05,229.12237084711944,9.63073580453597,229.9394369688333,229.19650753529706
90,NONE,NONE,1,-1,"(1, 0)",229.14766650254742,235.77561095329347,7.846159832348012e-05,229.13839116159633,1.2289896439603218,211.9362685441322,227.7275119153305
91,NONE,NONE,1,-1,"(1, 0)",229.1623956850138,235.85139676696542,6.427605975374284e-05,229.1524852033366,0.5442740382103087,234.86491379092274,229.6328941736413
92,NONE,NONE,1,-1,"(1, 0)",229.17681312936494,235.92559747220673,6.291167798277082e-05,229.16641843722488,0.2886788929162975,236.12376635976122,229.74995034918007
93,NONE,NONE,1,-1,"(1, 0)",229.19436561822351,236.01595817968962,7.658635481865539e-05,229.18425624570142,0.3929165791075813,243.24085090558515,230.35313935961636
94,NONE,NONE,1,-1,"(1, 0)",229.21349246374945,236.11445524077416,8.344902994065463e-05,229.20269252267627,0.19871302170283672,208.1248212158276,227.47391428284965
95,NONE,NONE,1,-1,"(1, 0)",229.23011009556757,236.2000573578764,7.249586091990611e-05,229.2191594464222,0.16756101527977374,213.8091658725104,227.95814786120152
96,NONE,NONE,1,-1,"(1, 0)",229.24414260624752,236.2723621185422,6.121395302636754e-05,229.2333399806162,0.2047446594061073,236.69098336993744,229.8583410802708
97,NONE,NONE,1,-1,"(1, 0)",229.25965441513873,236.3523098045663,6.766272819518275e-05,229.2483644732889,0.1131504127194594,233.8231054011298,229.63601199787226
98,NONE,NONE,1,-1,"(1, 0)",229.27835487314923,236.44872052208808,8.156557424709384e-05,229.26703859595514,0.11028892429927141,228.70592136823902,229.23114890575752
99,NONE,NONE,1,-1,"(1, 0)",229.29685521700114,236.5441305014869,8.068619260220234e-05,229.2864695031702,0.28576478290171103,236.39187173815517,229.8819015023157
100,NONE,NONE,1,-1,"(1, 0)",229.31207951418827,236.62266835101147,6.63933736993224e-05,229.30143748722003,0.20804708649893777,233.573118764632,229.66341621238035
101,NONE,NONE,1,-1,"(1, 0)",229.32618997768373,236.69547887328827,6.15319934620221e-05,229.3154088964138,0.17284107007215063,223.90528679899566,228.8792461867022
102,NONE,NONE,1,-1,"(1, 0)",229.3431398928065,236.78296476804775,7.390908450425461e-05,229.33202227784662,0.11885803666415634,240.7394359806561,230.2826747205793
103,NONE,NONE,1,-1,"(1, 0)",229.36234969425928,236.88214619072005,8.375657976671986e-05,229.35272508522877,0.5172097550648775,231.8852040925223,229.57032174356272
104,NONE,NONE,1,-1,"(1, 0)",229.3796221924235,236.97135356777991,7.530376216212517e-05,229.3697524086365,0.395809331134875,235.30446427334556,229.86800105578484
105,NONE,NONE,1,-1,"(1, 0)",229.39385193525135,237.04486619690917,6.203385171510274e-05,229.3843264629812,0.6259757191284738,206.4984521819589,227.5067238840753
106,NONE,NONE,1,-1,"(1, 0)",229.40880359768485,237.1221280075016,6.517687837454065e-05,229.39991903499038,1.4090173053326878,235.4869368241985,229.90975436795466
107,NONE,NONE,1,-1,"(1, 0)",229.4270984547209,237.21669297906772,7.974466236793269e-05,229.42011164506042,10.024190223257015,222.71908160196884,228.87427769183725
108,NONE,NONE,1,-1,"(1, 0)",229.44601479210868,237.3145020662135,8.244691986716371e-05,229.4377054739487,2.6745382967220035,204.30509334345305,227.3742731962032
109,NONE,NONE,1,-1,"(1, 0)",229.46183026397617,237.39630253426918,6.892657009076554e-05,229.45408933431727,5.28062361234745,229.05623428067793,229.42840936669
110,NONE,NONE,1,-1,"(1, 0)",229.4757784118798,237.46846358424506,6.078450597305846e-05,229.46830439793948,7.587967671708441,229.8303459312703,229.50499281454188
111,NONE,NONE,1,-1,"(1, 0)",229.49208757403795,237.55286164691628,7.106886287114619e-05,229.48333021344283,1.7150490986355873,223.8424525527514,229.02662197487714
112,NONE,NONE,1,-1,"(1, 0)",229.51121993138167,237.65190000934683,8.336479080658783e-05,229.5030894524856,3.1891640415118303,230.1385211970597,229.56289810491842
113,NONE,NONE,1,-1,"(1, 0)",229.52912113643674,237.74459523979837,7.799403870463842e-05,229.52032403284664,1.5783951493658293,224.72411616645167,229.1333073097769
114,NONE,NONE,1,-1,"(1, 0)",229.54369845853364,237.82010025111953,6.350766797580032e-05,229.53584027267345,5.33893813669495,215.4774744982218,228.3850623295972
115,NONE,NONE,1,-1,"(1, 0)",229.55817663039596,237.8951106888944,6.307171742377347e-05,229.5498037774414,2.728121776547081,226.79714230373324,229.33076432906213
116,NONE,NONE,1,-1,"(1, 0)",229.57594995969032,237.98721899406704,7.742107708364917e-05,229.5676016608713,2.802470714137889,229.8530898559448,229.5987747908465
117,NONE,NONE,1,-1,"(1, 0)",229.59514881555185,238.08674698427353,8.362397338989959e-05,229.58567036707032,0.9215253447457212,233.71949161091075,229.9347951724632
118,NONE,NONE,1,-1,"(1, 0)",229.61161809054883,238.1721511991992,7.172923480643722e-05,229.60269957144246,1.7541008150834203,236.99091295187404,230.21927147156254
119,NONE,NONE,1,-1,"(1, 0)",229.62556294381605,238.24448375734002,6.0730506358728686e-05,229.61696629525585,2.7160332334067587,236.61542652478695,230.2011133694097
120,NONE,NONE,1,-1,"(1, 0)",229.64123246491712,238.32578320963532,6.823711735219069e-05,229.63318793332962,5.291800942180157,208.9913273287066,227.94102035386987
121,NONE,NONE,1,-1,"(1, 0)",229.66012837389687,238.42385191090094,8.228109298839564e-05,229.65217271273298,5.788237245376112,237.9061900405346,230.33901286676436
122,NONE,NONE,1,-1,"(1, 0)",229.67859328453457,238.51971493977285,8.039779699371927e-05,229.67009631256985,3.3276920146666593,225.92393807575246,229.36950363950987
123,NONE,NONE,1,-1,"(1, 0)",229.6936515269802,238.5979146238032,6.556008823411369e-05,229.68546182122938,4.898147780068225,232.06503666893565,229.88885521385617
124,NONE,NONE,1,-1,"(1, 0)",229.7077749789097,238.67127844099852,6.148632163083405e-05,229.70043067223386,15.200983213675931,244.38845191912068,230.91615990827526
125,NONE,NONE,1,-1,"(1, 0)",229.72494081248166,238.76047010676734,7.472621339295202e-05,229.71655892058197,4.85098089207773,227.09436591494085,229.5084310733297
126,NONE,NONE,1,-1,"(1, 0)",229.74426854720468,238.86092666986463,8.413070708856342e-05,229.735802996412,4.47325032570063,234.82437497882947,230.16235205760407
127,NONE,NONE,1,-1,"(1, 0)",229.7614161071533,238.9500800042345,7.463481096852313e-05,229.75293875027913,4.418802816288149,221.14297672183505,229.05218717175362
128,NONE,NONE,1,-1,"(1, 0)",229.77552158053527,239.02343692199818,6.138994378713837e-05,229.76795159014733,14.922989167417718,247.9650744646187,231.2722850559709
129,NONE,NONE,1,-1,"(1, 0)",229.79059278917504,239.10183614965132,6.558885946531428e-05,229.78382293354167,40.74757129135185,209.53053726445023,228.123563235009
130,NONE,NONE,1,-1,"(1, 0)",229.80910450141212,239.19816075389875,8.055580696072078e-05,229.80256140178122,51.39987635893569,207.10414264272475,227.94105465837686
131,NONE,NONE,1,-1,"(1, 0)",229.82803230908024,239.29668258249637,8.235978411214086e-05,229.82050200292852,19.184788439227127,224.3374284749494,229.37633029840282
132,NONE,NONE,1,-1,"(1, 0)",229.84367913794807,239.37815097557015,6.807827623176894e-05,229.83607616810227,17.584168853921565,217.9622455596819,228.86628170689937
133,NONE,NONE,1,-1,"(1, 0)",229.8575922298783,239.4506109506629,6.05310135125365e-05,229.8509943732854,68.96567758032748,249.67558766926768,231.48777307040223
134,NONE,NONE,1,-1,"(1, 0)",229.8741006281372,239.53661015245996,7.18175341071306e-05,229.86687338415538,33.56126376281086,228.05337444916273,229.7243428089378
135,NONE,NONE,1,-1,"(1, 0)",229.8933924212959,239.63714053895947,8.391977885219087e-05,229.8853060334087,14.469267252283917,250.87619322533794,231.61911858051033
136,NONE,NONE,1,-1,"(1, 0)",229.91120212418735,239.72997764791455,7.746639816836439e-05,229.90319226515777,15.705569613717525,229.11144744352626,229.84543155930595
137,NONE,NONE,1,-1,"(1, 0)",229.925627022435,239.80519178402028,6.273920372649616e-05,229.91814000706162,31.18881051594652,235.14417712947574,230.354765436487
138,NONE,NONE,1,-1,"(1, 0)",229.94017992815304,239.88109250449187,6.329196693009491e-05,229.93230347672616,18.81720203373433,217.62950833852227,228.92789727994852
139,NONE,NONE,1,-1,"(1, 0)",229.95818036499472,239.97500041908395,7.828006535775397e-05,229.95006274808492,14.61692255495106,237.83455846270266,230.60578896286583
140,NONE,NONE,1,-1,"(1, 0)",229.97743977781613,240.0755089511534,8.374829862795255e-05,229.9708223076269,63.79373754633196,238.8492633422988,230.7068344303789
141,NONE,NONE,1,-1,"(1, 0)",229.99374988232577,240.16065234792893,7.091793957148847e-05,229.98833166980043,256.3387809517437,234.9032854139372,230.39735743718126
142,NONE,NONE,1,-1,"(1, 0)",230.0076142918106,240.23304751280358,6.027986249087276e-05,230.00221076847563,261.65787484019864,236.22508445689442,230.51871491461924
143,NONE,NONE,1,-1,"(1, 0)",230.02345534069408,240.31578537534128,6.88694739786908e-05,230.01975214927248,1992.2117913233183,219.0509022902538,229.12153022696504
144,NONE,NONE,1,-1,"(1, 0)",230.04254509266642,240.4155215140565,8.29870147559476e-05,230.03894485931426,2206.9369164914774,240.50816549221307,230.90272982148056
145,NONE,NONE,1,-1,"(1, 0)",230.0609601430706,240.5117639898147,8.00474250007805e-05,230.05804824749626,4475.909683087819,243.67089976202237,231.17949155264978
146,NONE,NONE,1,-1,"(1, 0)",230.0758482196507,240.5895959921676,6.471152194193711e-05,230.0728853301729,4196.5121831209235,230.2673664166585,230.09158710335333
147,NONE,NONE,1,-1,"(1, 0)",230.08999754848082,240.66358463685276,6.14966493697462e-05,230.08722797539252,5435.11013234509,219.55557917395123,229.22433677873815
148,NONE,NONE,1,-1,"(1, 0)",230.10738867573212,240.75454999427782,7.558116486604666e-05,230.105090021104,9071.604226990763,231.57992034717884,230.22838411318426
149,NONE,NONE,1,-1,"(1, 0)",230.12682526058697,240.85624679018844,8.446388503010066e-05,230.12457393858176,9501.647725458728,218.86726845082552,229.20172465786843
150,NONE,NONE,1,-1,"(1, 0)",230.14383490422088,240.94527345190443,7.391148345439555e-05,230.1404500904521,2696.059981581647,215.69112252873643,228.95646803182896
151,NONE,NONE,1,-1,"(1, 0)",230.1578200753721,241.01849006538782,6.0765243853432325e-05,230.15437585371598,2488.8327766025536,231.39034493677178,230.25907236816352
152,NONE,NONE,1,-1,"(1, 0)",230.17302551168922,241.09811533216163,6.606307819010346e-05,230.16963831653507,2672.655130307039,199.50279453548913,227.6536231398068
153,NONE,NONE,1,-1,"(1, 0)",230.1917560745441,241.19622931458017,8.137270101632338e-05,230.18848036459676,2992.0764730036954,232.37846120535366,230.37136808392233
154,NONE,NONE,1,-1,"(1, 0)",230.21068150535422,241.2953964889023,8.221255699793029e-05,230.20810585886719,6023.692892317559,233.01903061896357,230.4413352651264
155,NONE,NONE,1,-1,"(1, 0)",230.22615219956322,241.37648545132575,6.720007211558906e-05,230.2242999883511,14586.63476445159,224.24944174685973,229.73530934291503
156,NONE,NONE,1,-1,"(1, 0)",230.2400411843206,241.44930252299375,6.032575229713718e-05,230.238598424247,25475.181231543087,232.26338654099862,230.4062002633537
157,NONE,NONE,1,-1,"(1, 0)",230.25676080422014,241.53698333854166,7.26155744606793e-05,230.25494966679852,16799.096002224993,219.38633275814078,229.36413555272384
158,NONE,NONE,1,-1,"(1, 0)",230.27620594428245,241.63898932950906,8.444624588394586e-05,230.27387698597676,10156.058468339277,236.9834427302797,230.82692421729897
159,NONE,NONE,1,-1,"(1, 0)",230.29390975249655,241.73189055085282,7.687779827418081e-05,230.29135407775328,7974.219660820785,213.25500229501307,228.89498548267116
160,NONE,NONE,1,-1,"(1, 0)",230.30818262325724,241.80680863549136,6.197484119811798e-05,230.30610572134347,15039.972815449622,225.91827065113753,229.94778546573744
161,NONE,NONE,1,-1,"(1, 0)",230.3228249278377,241.88368517397544,6.357498451205087e-05,230.32139808287627,34825.17685606222,243.19630297545328,231.3796274273702
162,NONE,NONE,1,-1,"(1, 0)",230.34105804169934,241.9794418818989,7.916016230141689e-05,230.33844136432222,10142.47439473855,241.97875228801456,231.2963376320903
163,NONE,NONE,1,-1,"(1, 0)",230.3603656173272,242.08087450784566,8.38181722376043e-05,230.35714497919037,5615.894081109489,231.5946377397399,230.4616722953348
164,NONE,NONE,1,-1,"(1, 0)",230.37650605938728,242.1656946524453,7.006360054477969e-05,230.37278019064556,3108.376123445952,216.52202271048154,229.23943642647177
165,NONE,NONE,1,-1,"(1, 0)",230.3902983114819,242.2381935871659,5.986651802110529e-05,230.38627904351947,2079.767244484582,223.25483179019702,229.8047090563698
166,NONE,NONE,1,-1,"(1, 0)",230.40632481232925,242.32245865377965,6.955997526703631e-05,230.40321939171568,6115.101734745638,230.7834115629609,230.43726919265805
167,NONE,NONE,1,-1,"(1, 0)",230.425605767367,242.42386625321177,8.36789023049523e-05,230.42173767167782,2895.6678294250455,222.0490701089945,229.73827051734486
